Gen;Run;BehaNAlung;Repetition;delta_ct
MYT1L;3;30d_NIM-2_1d_MAT;1;NA
MYT1L;3;30d_NIM-2_1d_MAT;2;NA
MYT1L;3;30d_NIM-2_1d_MAT;3;7,61E-008
MYT1L;4;Control;1;3,93E-008
MYT1L;4;Control;2;NA
MYT1L;4;Control;3;9,35E-008
MYT1L;4;NIM-1;1;4,82E-007
MYT1L;4;NIM-1;2;2,03E-007
MYT1L;4;NIM-1;3;NA
MYT1L;4;7d_NIM-2;1;1,55E-006
MYT1L;4;7d_NIM-2;2;NA
MYT1L;4;7d_NIM-2;3;1,18E-008
MYT1L;4;30d_NIM-2;1;1,67E-008
MYT1L;4;30d_NIM-2;2;NA
MYT1L;4;30d_NIM-2;3;NA
MYT1L;4;30d_NIM-2_1d_MAT;1;NA
MYT1L;4;30d_NIM-2_1d_MAT;2;5,91E-008
MYT1L;4;30d_NIM-2_1d_MAT;3;NA
NES;5;Control;1;0,0167851976
NES;5;Control;2;0,0171378903
NES;5;Control;3;0,0156611432
NES;5;NIM-1;1;0,0182410594
NES;5;NIM-1;2;0,0155529637
NES;5;NIM-1;3;0,0206650023
NES;5;7d_NIM-2;1;0,0004716486
NES;5;7d_NIM-2;2;0,0004985411
NES;5;7d_NIM-2;3;0,0004310073
NES;5;30d_NIM-2;1;0,0008600253
NES;5;30d_NIM-2;2;0,0007697442
NES;5;30d_NIM-2;3;0,0007591469
NES;5;30d_NIM-2_1d_MAT;1;0,0015754722
NES;5;30d_NIM-2_1d_MAT;2;0,0015218058
NES;5;30d_NIM-2_1d_MAT;3;0,0016885493
NES;6;Control;1;0,0193704328
NES;6;Control;2;0,0222507843
NES;6;Control;3;0,0179484118
NES;6;NIM-1;1;0,0123159068
NES;6;NIM-1;2;0,0125746902
NES;6;NIM-1;3;0,0132916744
NES;6;7d_NIM-2;1;0,0007066744
NES;6;7d_NIM-2;2;0,0007115897
NES;6;7d_NIM-2;3;0,0006778874
NES;6;30d_NIM-2;1;0,0007521632
NES;6;30d_NIM-2;2;0,0007418079
NES;6;30d_NIM-2;3;0,0008230874
NES;6;30d_NIM-2_1d_MAT;1;0,0022024627
NES;6;30d_NIM-2_1d_MAT;2;0,002295992
NES;6;30d_NIM-2_1d_MAT;3;0,0026557468
NES;7;Control;1;0,0218938073
NES;7;Control;2;0,0220460907
NES;7;Control;3;0,0221994334
NES;7;NIM-1;1;0,0099345247
NES;7;NIM-1;2;0,0092692393
NES;7;NIM-1;3;0,0109469036
NES;7;7d_NIM-2;1;0,0004431246
NES;7;7d_NIM-2;2;0,0004619422
NES;7;7d_NIM-2;3;0,0005570135
NES;7;30d_NIM-2;1;0,0004916775
NES;7;30d_NIM-2;2;0,0004619422
NES;7;30d_NIM-2;3;0,000553166
NES;7;30d_NIM-2_1d_MAT;1;0,0012078581
NES;7;30d_NIM-2_1d_MAT;2;0,0015182938
NES;7;30d_NIM-2_1d_MAT;3;0,0015288543
NES;8;Control;1;0,0337258824
NES;8;Control;2;0,0351580776
NES;8;Control;3;0,0337258824
NES;8;NIM-1;1;0,010284865
NES;8;NIM-1;2;0,0104284364
NES;8;NIM-1;3;0,0125746902
NES;8;7d_NIM-2;1;0,0002527502
NES;8;7d_NIM-2;2;0,0002391163
NES;8;7d_NIM-2;3;0,0001787214
NES;8;30d_NIM-2;1;0,0006025353
NES;8;30d_NIM-2;2;0,0004727396
NES;8;30d_NIM-2;3;0,0006109464
NES;8;30d_NIM-2_1d_MAT;1;0,0012945502
NES;8;30d_NIM-2_1d_MAT;2;0,001166714
NES;8;30d_NIM-2_1d_MAT;3;0,0012945502
SOX2;5;Control;1;0,000001419
SOX2;5;Control;2;NA
SOX2;5;Control;3;4,48E-006
SOX2;5;NIM-1;1;NA
SOX2;5;NIM-1;2;2,86E-006
SOX2;5;NIM-1;3;2,59E-006
SOX2;5;7d_NIM-2;1;0,00000078
SOX2;5;7d_NIM-2;2;1,18E-006
SOX2;5;7d_NIM-2;3;NA
SOX2;5;30d_NIM-2;1;2,00E-006
SOX2;5;30d_NIM-2;2;2,13E-006
SOX2;5;30d_NIM-2;3;2,62E-006
SOX2;5;30d_NIM-2_1d_MAT;1;3,14E-006
SOX2;5;30d_NIM-2_1d_MAT;2;1,38E-005
SOX2;5;30d_NIM-2_1d_MAT;3;0,000012394
SOX2;6;Control;1;0,000014739
SOX2;6;Control;2;NA
SOX2;6;Control;3;NA
SOX2;6;NIM-1;1;0,000002392
SOX2;6;NIM-1;2;NA
SOX2;6;NIM-1;3;8,47E-008
SOX2;6;7d_NIM-2;1;4,04E-006
SOX2;6;7d_NIM-2;2;2,44E-006
SOX2;6;7d_NIM-2;3;4,71E-006
SOX2;6;30d_NIM-2;1;1,00E-006
SOX2;6;30d_NIM-2;2;3,04E-006
SOX2;6;30d_NIM-2;3;1,99E-006
SOX2;6;30d_NIM-2_1d_MAT;1;1,28E-005
SOX2;6;30d_NIM-2_1d_MAT;2;5,01E-006
SOX2;6;30d_NIM-2_1d_MAT;3;4,58E-006
SOX2;7;Control;1;NA
SOX2;7;Control;2;5,16E-006
SOX2;7;Control;3;NA
SOX2;7;NIM-1;1;0,000001715
SOX2;7;NIM-1;2;NA
SOX2;7;NIM-1;3;NA
SOX2;7;7d_NIM-2;1;9,29E-008
SOX2;7;7d_NIM-2;2;2,97E-005
SOX2;7;7d_NIM-2;3;NA
SOX2;7;30d_NIM-2;1;2,02E-007
SOX2;7;30d_NIM-2;2;3,51E-006
SOX2;7;30d_NIM-2;3;1,23E-006
SOX2;7;30d_NIM-2_1d_MAT;1;3,75E-006
SOX2;7;30d_NIM-2_1d_MAT;2;8,11E-007
SOX2;7;30d_NIM-2_1d_MAT;3;4,16E-006
SOX2;8;Control;1;5,99E-006
SOX2;8;Control;2;4,80E-006
SOX2;8;Control;3;1,06E-005
SOX2;8;NIM-1;1;0,000002263
SOX2;8;NIM-1;2;1,67E-006
SOX2;8;NIM-1;3;0,000001727
SOX2;8;7d_NIM-2;1;4,20E-006
SOX2;8;7d_NIM-2;2;8,97E-008
SOX2;8;7d_NIM-2;3;NA
SOX2;8;30d_NIM-2;1;6,09E-007
SOX2;8;30d_NIM-2;2;5,64E-006
SOX2;8;30d_NIM-2;3;1,52E-006
SOX2;8;30d_NIM-2_1d_MAT;1;4,56E-006
SOX2;8;30d_NIM-2_1d_MAT;2;5,24E-006
SOX2;8;30d_NIM-2_1d_MAT;3;3,50E-006
TUBB3;5;Control;1;0,098299871
TUBB3;5;Control;2;0,0798443058
TUBB3;5;Control;3;0,0765917777
TUBB3;5;NIM-1;1;0,068078041
TUBB3;5;NIM-1;2;0,0714626554
TUBB3;5;NIM-1;3;0,0709690268
TUBB3;5;7d_NIM-2;1;0,2431637369
TUBB3;5;7d_NIM-2;2;0,2932087373
TUBB3;5;7d_NIM-2;3;0,2517388875
TUBB3;5;30d_NIM-2;1;0,0811461618
TUBB3;5;30d_NIM-2;2;0,0800289986
TUBB3;5;30d_NIM-2;3;0,0894153708
TUBB3;5;30d_NIM-2_1d_MAT;1;0,081333866
TUBB3;5;30d_NIM-2_1d_MAT;2;0,0877778047
TUBB3;5;30d_NIM-2_1d_MAT;3;0,091505356
TUBB3;6;Control;1;0,0733021843
TUBB3;6;Control;2;0,0738120413
TUBB3;6;Control;3;0,0738120413
TUBB3;6;NIM-1;1;0,0589921445
TUBB3;6;NIM-1;2;0,0606506395
TUBB3;6;NIM-1;3;0,0663696127
TUBB3;6;7d_NIM-2;1;0,3106438361
TUBB3;6;7d_NIM-2;2;0,2761135002
TUBB3;6;7d_NIM-2;3;0,2258338002
TUBB3;6;30d_NIM-2;1;0,143919435
TUBB3;6;30d_NIM-2;2;0,1469434883
TUBB3;6;30d_NIM-2;3;0,1653200183
TUBB3;6;30d_NIM-2_1d_MAT;1;0,0671407905
TUBB3;6;30d_NIM-2_1d_MAT;2;0,054535268
TUBB3;6;30d_NIM-2_1d_MAT;3;0,065759053
TUBB3;7;Control;1;0,0912941778
TUBB3;7;Control;2;0,0887977337
TUBB3;7;Control;3;0,1027112893
TUBB3;7;NIM-1;1;0,053908877
TUBB3;7;NIM-1;2;0,062355761
TUBB3;7;NIM-1;3;0,0726278492
TUBB3;7;7d_NIM-2;1;0,2116863281
TUBB3;7;7d_NIM-2;2;0,1947911449
TUBB3;7;7d_NIM-2;3;0,1907824011
TUBB3;7;30d_NIM-2;1;0,1303082201
TUBB3;7;30d_NIM-2;2;0,1538930517
TUBB3;7;30d_NIM-2;3;0,1549634625
TUBB3;7;30d_NIM-2_1d_MAT;1;0,0506486163
TUBB3;7;30d_NIM-2_1d_MAT;2;0,0546614169
TUBB3;7;30d_NIM-2_1d_MAT;3;0,0641088201
TUBB3;8;Control;1;0,1416104857
TUBB3;8;Control;2;0,1582195742
TUBB3;8;Control;3;0,1158235077
TUBB3;8;NIM-1;1;0,067296098
TUBB3;8;NIM-1;2;0,0654558827
TUBB3;8;NIM-1;3;0,0736416962
TUBB3;8;7d_NIM-2;1;0,1476240827
TUBB3;8;7d_NIM-2;2;0,1804911494
TUBB3;8;7d_NIM-2;3;0,1560413186
TUBB3;8;30d_NIM-2;1;0,1859946892
TUBB3;8;30d_NIM-2;2;0,1938930952
TUBB3;8;30d_NIM-2;3;0,2321828525
TUBB3;8;30d_NIM-2_1d_MAT;1;0,0420038875
TUBB3;8;30d_NIM-2_1d_MAT;2;0,0550416171
TUBB3;8;30d_NIM-2_1d_MAT;3;0,0558099694
MAP2;5;Control;1;0,0013557749
MAP2;5;Control;2;0,0014330785
MAP2;5;Control;3;0,0012134525
MAP2;5;NIM-1;1;0,0076694207
MAP2;5;NIM-1;2;0,0080507189
MAP2;5;NIM-1;3;0,0082770554
MAP2;5;7d_NIM-2;1;0,0010760792
MAP2;5;7d_NIM-2;2;0,000911165
MAP2;5;7d_NIM-2;3;0,0009970822
MAP2;5;30d_NIM-2;1;0,0003902447
MAP2;5;30d_NIM-2;2;0,0003420907
MAP2;5;30d_NIM-2;3;0,0005185126
MAP2;5;30d_NIM-2_1d_MAT;1;4,41E-005
MAP2;5;30d_NIM-2_1d_MAT;2;4,66E-005
MAP2;5;30d_NIM-2_1d_MAT;3;5,58E-005
MAP2;6;Control;1;0,0024893762
MAP2;6;Control;2;0,0025950895
MAP2;6;Control;3;0,0026313156
MAP2;6;NIM-1;1;0,0056273315
MAP2;6;NIM-1;2;0,006073175
MAP2;6;NIM-1;3;0,0048650376
MAP2;6;7d_NIM-2;1;0,0007573949
MAP2;6;7d_NIM-2;2;0,0007115897
MAP2;6;7d_NIM-2;3;0,0008288125
MAP2;6;30d_NIM-2;1;0,0002568713
MAP2;6;30d_NIM-2;2;0,0002236195
MAP2;6;30d_NIM-2;3;0,0003075979
MAP2;6;30d_NIM-2_1d_MAT;1;0,000051443
MAP2;6;30d_NIM-2_1d_MAT;2;5,48E-005
MAP2;6;30d_NIM-2_1d_MAT;3;0,000047998
MAP2;7;Control;1;0,0027942303
MAP2;7;Control;2;0,003277171
MAP2;7;Control;3;0,0031003927
MAP2;7;NIM-1;1;0,007222263
MAP2;7;NIM-1;2;0,006331077
