"Gene";"contrast";"ratio";"SE";"df";"t.ratio";"p.value";"p"
"SOX2";"MSC_0 / MSC_100";1,35476566568486;0,958882061838102;34;0,428984420330183;0,670640569906556;0,671
"SOX2";"MSC_0 / AC_0";1,13526049875088;0,80351971956368;34;0,179238382821091;0,858814413371686;0,859
"SOX2";"MSC_0 / AC_50";1,77152770078163;1,1373511305163;34;0,890696299544501;0,379351888662064;0,379
"SOX2";"MSC_0 / AC_100";1,8610429210032;1,1948214353117;34;0,967477364060752;0,340137448584562;0,34
"SOX2";"AC_0 / AC_50";1,56045920978562;1,00951172810437;34;0,687830902092707;0,496225328722452;0,496
"SOX2";"AC_0 / AC_100";1,63930914803333;1,06052231327199;34;0,764028590595728;0,450120161477163;0,45
"THY1";"MSC_0 / MSC_50";1,2377996145649;0,224170404172697;46;1,17797151577804;0,244866312201708;0,245
"THY1";"MSC_0 / MSC_100";2,2466537214101;0,406877871699475;46;4,46948759210311;5,08493355360988e-05;0
"THY1";"MSC_0 / AC_0";11,3661099057505;2,05844744291588;46;13,4212205858834;1,61634575981773e-17;0
"THY1";"MSC_0 / AC_50";16,4751788623564;2,98372003104083;46;15,4709760808426;7,48774308123447e-20;0
"THY1";"MSC_0 / AC_100";12,9261633354004;2,34097928711795;46;14,1314055804746;2,37357636508422e-18;0
"THY1";"AC_0 / AC_50";1,44950022470054;0,262510221683785;46;2,04975549495917;0,0461142608926314;0,046
"THY1";"AC_0 / AC_100";1,13725482531721;0,205961345308968;46;0,71018499459121;0,481174456481628;0,481
"TUBB3";"MSC_0 / MSC_50";1,33895837487298;0,267501877943837;46;1,46104099721762;0,15080172685578;0,151
"TUBB3";"MSC_0 / MSC_100";1,56554683285726;0,312770527939728;46;2,24360385307597;0,0297146575028231;0,03
"TUBB3";"MSC_0 / AC_0";0,324834726597506;0,0648966398185818;46;-5,62828457765607;1,04063757585185e-06;0
"TUBB3";"MSC_0 / AC_50";0,4175439597456;0,0834184209547584;46;-4,37155802101323;6,98572509237459e-05;0
"TUBB3";"MSC_0 / AC_100";0,658738500861908;0,13160512631409;46;-2,08940427413367;0,0422303184088298;0,042
"TUBB3";"AC_0 / AC_50";1,28540431658641;0,256802657242124;46;1,25672655664284;0,215196983644102;0,215
"TUBB3";"AC_0 / AC_100";2,02791895977961;0,405144879959705;46;3,5388803035224;0,000931491809163949;0,001
