"Gen";"Treat";"Conc";"delta_ct";"SE";"df";"lower.CL";"upper.CL";"sig_star_msc";"sig_star_ac"
"NES";"A";"50";0,000282177179216903;2,31300602642014e-05;46;0,000239256964284049;0,000332796835022439;"*";"#"
"NES";"A";"100";0,000297578007290356;2,43924659713042e-05;46;0,000252315268228191;0,00035096041172908;"*";"#"
"NT5E";"MS";"0";0,120000399283694;0,00808797427076675;46;0,104776214974339;0,137436686673332;"";""
"NT5E";"MS";"50";0,136892101363341;0,00922646758099866;46;0,119524904303243;0,156782785352648;"";""
"NT5E";"MS";"100";0,142047411260533;0,00957393320657333;46;0,124026171476284;0,162687171631975;"";""
"NT5E";"A";"0";0,152242645789791;0,0102610875414696;46;0,132927959229723;0,174363793225926;"*";""
"NT5E";"A";"50";0,104627451604844;0,00705184434091182;46;0,0913535990463662;0,119830020312259;"";"#"
"NT5E";"A";"100";0,107651807237629;0,00725568458385788;46;0,0939942613927505;0,123293820599366;"";"#"
"POU3F2";"MS";"0";5,52201955365387e-05;8,24410726934005e-06;46;4,08870423969105e-05;7,4577905770068e-05;"";""
"POU3F2";"MS";"50";3,35757180213503e-05;5,01269179371103e-06;46;2,48606835399068e-05;4,5345850561173e-05;"*";""
"POU3F2";"MS";"100";4,05795139653331e-05;6,05832454625275e-06;46;3,00465489450999e-05;5,48048615057742e-05;"";""
"POU3F2";"A";"0";1,8328448577069e-05;2,73634844429258e-06;46;1,35710503513945e-05;2,47535760714162e-05;"*";""
"POU3F2";"A";"50";2,85177948483139e-05;4,25756840464222e-06;46;2,11156131502263e-05;3,85148476259994e-05;"*";"#"
"POU3F2";"A";"100";3,73407690126599e-05;5,5747956389673e-06;46;2,76484643149014e-05;5,04307586336842e-05;"";"#"
"SOX2";"MS";"0";2,83041276889659e-06;1,40757652748466e-06;34;1,03022637571476e-06;7,77619038997594e-06;"";""
"SOX2";"MS";"50";1,98071193440527e-06;9,85016622739614e-07;34;7,20948442552715e-07;5,44174803014241e-06;"";""
"SOX2";"MS";"100";2,0892268239362e-06;1,05220569183115e-06;34;7,50726853958351e-07;5,81419020625138e-06;"";""
"SOX2";"A";"0";2,49318352220558e-06;1,25565202532765e-06;34;8,95881577108903e-07;6,93837693979257e-06;"";""
"SOX2";"A";"50";1,5977242510223e-06;6,48751595348051e-07;34;7,00047497166812e-07;3,64649940559175e-06;"";""
"SOX2";"A";"100";1,52087452522097e-06;6,17546972783315e-07;34;6,66375567751735e-07;3,47110463438818e-06;"";""
"THY1";"MS";"0";0,329623016280089;0,0422114686849336;46;0,254723476445508;0,426546207588477;"";""
"THY1";"MS";"50";0,266297559315331;0,0341020211900547;46;0,205787328940998;0,344600371957955;"";""
"THY1";"MS";"100";0,146717321471865;0,0187885958048042;46;0,113379055266973;0,189858456389424;"*";""
"THY1";"A";"0";0,0290005128415415;0,00371380085490617;46;0,0224107877328051;0,0375278975063116;"*";""
"THY1";"A";"50";0,0200072496349787;0,00256212506325994;46;0,0154610446765781;0,0258902322792427;"*";"#"
"THY1";"A";"100";0,0255004526654372;0,00326558373042761;46;0,0197060388172494;0,0329986707208247;"*";""
"TUBB3";"MS";"0";0,100288092253336;0,0141675296874115;46;0,075466481157014;0,133273756687924;"";""
"TUBB3";"MS";"50";0,0749000821350028;0,0105810083071145;46;0,0563620815801485;0,0995353994485202;"";""
"TUBB3";"MS";"100";0,0640594648135191;0,00904957257749645;46;0,0482045503674144;0,0851292046272976;"*";""
"TUBB3";"A";"0";0,308735747879568;0,0436145785144644;46;0,232322701293333;0,41028173952922;"*";""
"TUBB3";"A";"50";0,240185709582386;0,0339306301929107;46;0,180739008182501;0,319184971012691;"*";""
"TUBB3";"A";"100";0,152242645787542;0,0215070618597128;46;0,11456212299459;0,202316634770163;"*";"#"
